Time,Temp,Hum
2021/08/11 7:25,26.4,76.1
2021/08/11 7:25,26.4,76.1
2021/08/11 7:26,26.4,76.1
2021/08/11 7:26,26.4,76.1
2021/08/11 7:26,26.4,76.1
2021/08/11 7:26,26.4,76
2021/08/11 7:26,26.4,76
2021/08/11 7:26,26.4,76
2021/08/11 7:26,26.4,76
2021/08/11 7:26,26.5,75.9
2021/08/11 7:26,26.5,75.9
2021/08/11 7:26,26.5,75.9
2021/08/11 7:26,26.4,76
2021/08/11 7:26,26.5,75.9
2021/08/11 7:27,26.5,75.9
2021/08/11 7:27,26.5,75.9
2021/08/11 7:27,26.4,75.9
2021/08/11 7:27,26.5,75.8
2021/08/11 7:27,26.5,75.8
2021/08/11 7:27,26.5,75.8
2021/08/11 7:27,26.5,75.8
2021/08/11 7:27,26.5,75.8
2021/08/11 7:27,26.5,75.8
2021/08/11 7:27,26.4,75.9
2021/08/11 7:27,26.5,75.8
2021/08/11 7:27,26.5,75.8
2021/08/11 7:28,26.5,75.8
2021/08/11 7:28,26.5,75.8
2021/08/11 7:28,26.5,75.8
2021/08/11 7:28,26.5,75.8
2021/08/11 7:28,26.5,75.8
2021/08/11 7:28,26.5,75.8
2021/08/11 7:28,26.5,75.8
2021/08/11 7:28,26.5,75.8
2021/08/11 7:28,26.4,75.9
2021/08/11 7:28,26.5,75.8
2021/08/11 7:28,26.5,75.8
2021/08/11 7:28,26.5,75.8
2021/08/11 7:29,26.5,75.8
2021/08/11 7:29,26.5,75.9
2021/08/11 7:29,26.5,75.9
2021/08/11 7:29,26.4,76
2021/08/11 7:29,26.4,76
2021/08/11 7:29,26.5,75.9
2021/08/11 7:29,26.5,75.9
2021/08/11 7:29,26.5,75.9
2021/08/11 7:29,26.5,75.9
2021/08/11 7:29,26.5,75.9
2021/08/11 7:29,26.5,75.9
2021/08/11 7:29,26.5,75.9
2021/08/11 7:30,26.5,75.9
2021/08/11 7:30,26.5,75.9
2021/08/11 7:30,26.5,75.9
2021/08/11 7:30,26.5,75.9
2021/08/11 7:30,26.5,75.9
2021/08/11 7:30,26.5,75.9
2021/08/11 7:30,26.5,75.9
2021/08/11 7:30,26.5,75.9
2021/08/11 7:30,26.5,75.9
2021/08/11 7:30,26.5,75.9
2021/08/11 7:30,26.5,75.8
2021/08/11 7:30,26.5,75.8
2021/08/11 7:31,26.5,75.8
2021/08/11 7:31,26.5,75.8
2021/08/11 7:31,26.5,75.8
2021/08/11 7:31,26.5,75.8
2021/08/11 7:31,26.5,75.8
2021/08/11 7:31,26.5,75.8
2021/08/11 7:31,26.5,75.8
2021/08/11 7:31,26.5,75.8
2021/08/11 7:31,26.5,75.8
2021/08/11 7:31,26.5,75.8
2021/08/11 7:31,26.5,75.7
2021/08/11 7:31,26.5,75.7
2021/08/11 7:32,26.5,75.7
2021/08/11 7:32,26.6,75.7
2021/08/11 7:32,26.6,75.7
2021/08/11 7:32,26.6,75.7
2021/08/11 7:32,26.6,75.7
2021/08/11 7:32,26.6,75.7
2021/08/11 7:32,26.6,75.7
2021/08/11 7:32,26.6,75.7
2021/08/11 7:32,26.6,75.6
2021/08/11 7:32,26.6,75.6
2021/08/11 7:32,26.6,75.6
2021/08/11 7:32,26.5,75.6
2021/08/11 7:33,26.6,75.5
